date_time,water_height
2019-02-23 00:01:53,0.3
2019-02-23 00:11:53,0.29
2019-02-23 00:21:54,0.29
2019-02-23 00:31:54,0.29
2019-02-23 00:41:55,0.3
2019-02-23 00:51:55,0.29
2019-02-23 01:01:55,0.29
2019-02-23 01:11:55,0.3
2019-02-23 01:21:55,0.29
2019-02-23 01:31:55,0.29
2019-02-23 01:41:56,0.29
2019-02-23 01:51:56,0.29
2019-02-23 02:01:57,0.29
2019-02-23 02:11:57,0.28
2019-02-23 02:21:58,0.29
2019-02-23 02:31:58,0.29
2019-02-23 02:41:58,0.29
2019-02-23 02:51:58,0.29
2019-02-23 03:01:59,0.29
2019-02-23 03:11:59,0.29
2019-02-23 03:21:59,0.29
2019-02-23 03:31:59,0.29
2019-02-23 03:42:00,0.29
2019-02-23 03:52:00,0.29
2019-02-23 04:02:00,0.29
2019-02-23 04:12:00,0.3
2019-02-23 04:22:00,0.29
2019-02-23 04:32:00,0.3
2019-02-23 04:42:01,0.28
2019-02-23 04:52:03,0.29
2019-02-23 05:02:03,0.29
2019-02-23 05:12:03,0.29
2019-02-23 05:22:03,0.29
2019-02-23 05:32:03,0.29
2019-02-23 05:42:03,0.29
2019-02-23 05:52:03,0.29
2019-02-23 06:02:03,0.28
2019-02-23 06:12:03,0.28
2019-02-23 06:22:03,0.28
2019-02-23 06:32:03,0.28
2019-02-23 06:42:03,0.28
2019-02-23 06:52:03,0.28
2019-02-23 07:02:04,0.29
2019-02-23 07:12:04,0.29
2019-02-23 07:22:04,0.29
2019-02-23 07:32:04,0.28
2019-02-23 07:42:05,0.29
2019-02-23 07:52:05,0.28
2019-02-23 08:02:05,0.29
2019-02-23 08:12:05,0.23
2019-02-23 08:22:06,0.19
2019-02-23 08:32:06,0.16
2019-02-23 08:42:07,0.17
2019-02-23 08:52:07,0.16
2019-02-23 09:02:08,0.14
2019-02-23 09:12:08,0.16
2019-02-23 09:22:09,0.14
2019-02-23 09:32:09,0.15
2019-02-23 09:42:09,0.16
2019-02-23 09:52:10,0.15
2019-02-23 10:02:10,0.15
2019-02-23 10:12:10,0.14
2019-02-23 10:22:11,0.13
2019-02-23 10:32:11,0.13
2019-02-23 10:42:12,0.14
2019-02-23 10:52:12,0.15
2019-02-23 11:02:13,0.15
2019-02-23 11:12:13,0.15
2019-02-23 11:22:14,0.14
2019-02-23 11:32:14,0.16
2019-02-23 11:42:15,0.15
2019-02-23 11:52:15,0.16
2019-02-23 12:02:15,0.16
2019-02-23 12:12:15,0.15
2019-02-23 12:22:16,0.15
2019-02-23 12:32:16,0.15
2019-02-23 12:42:17,0.16
2019-02-23 12:52:17,0.16
2019-02-23 13:02:18,0.16
2019-02-23 13:12:18,0.19
2019-02-23 13:22:18,0.23
2019-02-23 13:32:19,0.19
2019-02-23 13:42:19,0.18
2019-02-23 13:52:19,0.18
2019-02-23 14:02:20,0.17
2019-02-23 14:12:20,0.16
2019-02-23 14:22:21,0.16
2019-02-23 14:32:21,0.17
2019-02-23 14:42:22,0.17
2019-02-23 14:52:22,0.18
2019-02-23 15:02:22,0.16
2019-02-23 15:12:22,0.17
2019-02-23 15:22:23,0.18
2019-02-23 15:32:23,0.19
2019-02-23 15:42:25,0.18
2019-02-23 15:52:25,0.18
2019-02-23 16:02:25,0.18
2019-02-23 16:12:26,0.19
2019-02-23 16:22:26,0.2
2019-02-23 16:32:26,0.2
2019-02-23 16:42:27,0.24
2019-02-23 16:52:27,0.25
2019-02-23 17:02:28,0.27
2019-02-23 17:12:28,0.27
2019-02-23 17:22:28,0.26
2019-02-23 17:32:28,0.25
2019-02-23 17:42:29,0.26
2019-02-23 17:52:29,0.27
2019-02-23 18:02:30,0.28
2019-02-23 18:12:30,0.28
2019-02-23 18:22:31,0.28
2019-02-23 18:32:31,0.28
2019-02-23 18:42:31,0.29
2019-02-23 18:52:31,0.29
2019-02-23 19:02:32,0.29
2019-02-23 19:22:34,0.29
2019-02-23 19:32:34,0.29
2019-02-23 19:42:35,0.29
2019-02-23 19:52:35,0.29
2019-02-23 20:02:35,0.29
2019-02-23 20:12:35,0.28
2019-02-23 20:22:36,0.29
2019-02-23 20:32:36,0.28
2019-02-23 20:42:37,0.28
2019-02-23 20:52:37,0.28
2019-02-23 21:02:37,0.28
2019-02-23 21:12:37,0.28
2019-02-23 21:22:38,0.28
2019-02-23 21:32:38,0.29
2019-02-23 21:42:39,0.3
2019-02-23 21:52:39,0.29
2019-02-23 22:02:39,0.29
2019-02-23 22:12:39,0.29
2019-02-23 22:22:40,0.29
2019-02-23 22:32:40,0.29
2019-02-23 22:42:41,0.29
2019-02-23 22:52:41,0.3
2019-02-23 23:02:42,0.29
2019-02-23 23:12:42,0.29
2019-02-23 23:22:42,0.29
2019-02-23 23:32:42,0.28
2019-02-23 23:42:43,0.28
2019-02-23 23:52:43,0.29
2019-02-24 00:02:43,0.29
2019-02-24 00:12:43,0.29
2019-02-24 00:22:44,0.29
2019-02-24 00:32:44,0.29
2019-02-24 00:42:45,0.29
2019-02-24 00:52:45,0.29
2019-02-24 01:02:45,0.29
2019-02-24 01:12:45,0.29
2019-02-24 01:22:46,0.29
2019-02-24 01:32:46,0.29
2019-02-24 01:42:46,0.28
2019-02-24 01:52:46,0.29
2019-02-24 02:02:46,0.29
2019-02-24 02:12:46,0.28
2019-02-24 02:22:47,0.28
2019-02-24 02:32:49,0.28
2019-02-24 02:42:49,0.28
2019-02-24 02:52:49,0.28
2019-02-24 03:02:49,0.28
2019-02-24 03:12:49,0.28
2019-02-24 03:22:49,0.28
2019-02-24 03:32:51,0.28
2019-02-24 03:42:51,0.28
2019-02-24 03:52:51,0.28
2019-02-24 04:02:51,0.27
2019-02-24 04:12:51,0.28
2019-02-24 04:22:51,0.28
2019-02-24 04:32:51,0.28
2019-02-24 04:42:51,0.28
2019-02-24 04:52:53,0.28
2019-02-24 05:02:53,0.28
2019-02-24 05:12:53,0.27
2019-02-24 05:22:53,0.28
2019-02-24 05:32:55,0.28
2019-02-24 05:42:55,0.28
2019-02-24 05:52:57,0.27
2019-02-24 06:02:57,0.27
2019-02-24 06:12:59,0.27
2019-02-24 06:22:59,0.27
2019-02-24 06:32:59,0.26
2019-02-24 06:42:59,0.27
2019-02-24 06:52:59,0.27
2019-02-24 07:03:00,0.28
2019-02-24 07:13:00,0.28
2019-02-24 07:23:00,0.28
2019-02-24 07:33:00,0.27
2019-02-24 07:43:01,0.28
2019-02-24 07:53:01,0.27
2019-02-24 08:03:01,0.27
2019-02-24 08:13:01,0.23
2019-02-24 08:23:02,0.19
2019-02-24 08:33:02,0.18
2019-02-24 08:43:03,0.17
2019-02-24 08:53:03,0.16
2019-02-24 09:03:04,0.15
2019-02-24 09:13:04,0.15
2019-02-24 09:23:04,0.13
2019-02-24 09:33:04,0.13
2019-02-24 09:43:05,0.12
2019-02-24 09:53:05,0.12
2019-02-24 10:03:07,0.11
2019-02-24 10:13:07,0.11
2019-02-24 10:23:07,0.12
2019-02-24 10:33:07,0.1
2019-02-24 10:43:08,0.10500000000000001
2019-02-24 10:53:08,0.11
2019-02-24 11:03:09,0.11
2019-02-24 11:13:09,0.12
2019-02-24 11:23:10,0.12
2019-02-24 11:33:10,0.12
2019-02-24 11:43:11,0.13
2019-02-24 11:53:11,0.14
2019-02-24 12:03:11,0.15
2019-02-24 12:13:11,0.14
2019-02-24 12:23:12,0.15
2019-02-24 12:33:12,0.14
2019-02-24 12:43:13,0.13
2019-02-24 12:53:13,0.16
2019-02-24 13:03:14,0.14
2019-02-24 13:13:14,0.18
2019-02-24 13:23:15,0.21
2019-02-24 13:33:15,0.19
2019-02-24 13:43:15,0.16
2019-02-24 13:53:16,0.16
2019-02-24 14:03:16,0.15
2019-02-24 14:13:17,0.14
2019-02-24 14:23:18,0.14
2019-02-24 14:33:18,0.14
2019-02-24 14:43:19,0.15
2019-02-24 14:53:19,0.14
2019-02-24 15:03:19,0.14
2019-02-24 15:13:20,0.15
2019-02-24 15:23:20,0.15
2019-02-24 15:33:20,0.15
2019-02-24 15:43:21,0.15
2019-02-24 15:53:21,0.15
2019-02-24 16:03:22,0.16
2019-02-24 16:13:22,0.16
2019-02-24 16:23:23,0.17
2019-02-24 16:33:23,0.18
2019-02-24 16:43:23,0.22
2019-02-24 16:53:24,0.23
2019-02-24 17:03:24,0.24
2019-02-24 17:13:24,0.25
2019-02-24 17:23:25,0.22
2019-02-24 17:33:25,0.22
2019-02-24 17:43:26,0.25
2019-02-24 17:53:26,0.24
2019-02-24 18:03:27,0.27
2019-02-24 18:13:27,0.26
2019-02-24 18:23:27,0.27
2019-02-24 18:33:27,0.27
2019-02-24 18:43:28,0.27
2019-02-24 18:53:28,0.27
2019-02-24 19:03:29,0.28
2019-02-24 19:13:29,0.28
2019-02-24 19:23:30,0.28
2019-02-24 19:33:30,0.28
2019-02-24 19:43:30,0.28
2019-02-24 19:53:30,0.28
2019-02-24 20:03:31,0.28
2019-02-24 20:13:31,0.28
2019-02-24 20:23:32,0.28
2019-02-24 20:33:32,0.28
2019-02-24 20:43:33,0.28
2019-02-24 20:53:33,0.28
2019-02-24 21:03:33,0.28
2019-02-24 21:13:34,0.27
2019-02-24 21:23:34,0.29
2019-02-24 21:33:34,0.29
2019-02-24 21:43:35,0.28
2019-02-24 21:53:35,0.29
2019-02-24 22:03:35,0.28
2019-02-24 22:13:35,0.29
2019-02-24 22:23:36,0.29
2019-02-24 22:33:36,0.28
2019-02-24 22:43:37,0.29
2019-02-24 22:53:37,0.29
2019-02-24 23:03:37,0.28
2019-02-24 23:13:37,0.28
2019-02-24 23:23:38,0.28
2019-02-24 23:33:38,0.28
2019-02-24 23:43:38,0.28
2019-02-24 23:53:38,0.28
2019-02-25 00:03:39,0.28
2019-02-25 00:13:39,0.29
2019-02-25 00:23:39,0.28
2019-02-25 00:33:39,0.28
2019-02-25 00:43:40,0.28
2019-02-25 00:53:40,0.28
2019-02-25 01:03:40,0.28
2019-02-25 01:13:41,0.28
2019-02-25 01:23:41,0.28
2019-02-25 01:33:41,0.28
2019-02-25 01:43:42,0.28
2019-02-25 01:53:42,0.27
2019-02-25 02:03:42,0.28
2019-02-25 02:13:42,0.28
2019-02-25 02:23:43,0.28
2019-02-25 02:33:43,0.28
2019-02-25 02:43:43,0.28
2019-02-25 02:53:43,0.27
2019-02-25 03:03:44,0.28
2019-02-25 03:13:44,0.28
2019-02-25 03:23:44,0.27
2019-02-25 03:33:44,0.27
2019-02-25 03:43:45,0.27
2019-02-25 03:53:45,0.27
2019-02-25 04:03:45,0.27
2019-02-25 04:13:45,0.27
2019-02-25 04:23:46,0.27
2019-02-25 04:33:46,0.27
2019-02-25 04:43:46,0.27
2019-02-25 04:53:46,0.27
2019-02-25 05:03:47,0.27
2019-02-25 05:13:47,0.27
2019-02-25 05:23:47,0.28
2019-02-25 05:33:47,0.27
2019-02-25 05:43:48,0.27
2019-02-25 05:53:48,0.27
2019-02-25 06:03:48,0.28
2019-02-25 06:13:48,0.27
2019-02-25 06:23:49,0.28
2019-02-25 06:33:49,0.27
2019-02-25 06:43:49,0.27
2019-02-25 06:53:49,0.27
2019-02-25 07:03:50,0.27
2019-02-25 07:13:50,0.27
2019-02-25 07:23:50,0.27
2019-02-25 07:33:50,0.27
2019-02-25 07:43:51,0.27
2019-02-25 07:53:51,0.26
2019-02-25 08:03:51,0.26
2019-02-25 08:13:52,0.22
2019-02-25 08:23:52,0.17
2019-02-25 08:33:52,0.17
2019-02-25 08:43:53,0.13
2019-02-25 08:53:53,0.14
2019-02-25 09:03:53,0.13
2019-02-25 09:13:54,0.12
2019-02-25 09:23:54,0.12
2019-02-25 09:33:54,0.13
2019-02-25 09:43:55,0.12
2019-02-25 09:53:55,0.11
2019-02-25 10:03:56,0.11
2019-02-25 10:13:56,0.1
2019-02-25 10:23:56,0.11
2019-02-25 10:33:56,0.11
2019-02-25 10:43:57,0.11
2019-02-25 10:53:57,0.11
2019-02-25 11:03:58,0.12
2019-02-25 11:13:58,0.13
2019-02-25 11:23:59,0.12
2019-02-25 11:33:59,0.11
2019-02-25 11:44:00,0.12
2019-02-25 11:54:00,0.11
2019-02-25 12:04:00,0.13
2019-02-25 12:14:00,0.13
2019-02-25 12:24:01,0.13
2019-02-25 12:34:01,0.13
2019-02-25 12:44:02,0.13
2019-02-25 12:54:02,0.13
2019-02-25 13:04:03,0.13
2019-02-25 13:14:03,0.15
2019-02-25 13:24:04,0.17
2019-02-25 13:34:04,0.16
2019-02-25 13:44:04,0.14
2019-02-25 13:54:05,0.13
2019-02-25 14:04:06,0.14
2019-02-25 14:14:06,0.15
2019-02-25 14:24:07,0.15
2019-02-25 14:34:07,0.13
2019-02-25 14:44:08,0.13
2019-02-25 14:54:08,0.12
2019-02-25 15:04:08,0.11
2019-02-25 15:14:09,0.11
2019-02-25 15:24:09,0.13
2019-02-25 15:34:09,0.14
2019-02-25 15:44:10,0.13
2019-02-25 15:54:10,0.14
2019-02-25 16:04:11,0.13
2019-02-25 16:14:11,0.15
2019-02-25 16:24:12,0.17
2019-02-25 16:34:12,0.18
2019-02-25 16:44:12,0.19
2019-02-25 16:54:13,0.21
2019-02-25 17:04:13,0.22
2019-02-25 17:14:13,0.22
2019-02-25 17:24:14,0.23
2019-02-25 17:34:14,0.23
2019-02-25 17:44:15,0.25
2019-02-25 17:54:15,0.25
2019-02-25 18:04:15,0.25
2019-02-25 18:14:15,0.26
2019-02-25 18:24:16,0.26
2019-02-25 18:34:16,0.26
2019-02-25 18:44:17,0.26
2019-02-25 18:54:17,0.26
2019-02-25 19:04:18,0.27
2019-02-25 19:14:18,0.27
2019-02-25 19:24:18,0.26
2019-02-25 19:34:18,0.26
2019-02-25 19:44:19,0.27
2019-02-25 19:54:19,0.27
2019-02-25 20:04:20,0.26
2019-02-25 20:14:21,0.28
2019-02-25 20:24:22,0.27
2019-02-25 20:34:22,0.27
2019-02-25 20:44:23,0.27
2019-02-25 20:54:23,0.27
2019-02-25 21:04:24,0.27
2019-02-25 21:14:24,0.27
2019-02-25 21:24:24,0.28
2019-02-25 21:34:24,0.27
2019-02-25 21:44:25,0.24
2019-02-25 21:54:25,0.27
2019-02-25 22:04:26,0.27
2019-02-25 22:14:26,0.27
2019-02-25 22:24:26,0.27
2019-02-25 22:34:26,0.27
2019-02-25 22:44:27,0.27
2019-02-25 22:54:27,0.27
2019-02-25 23:04:28,0.27
2019-02-25 23:14:28,0.26
2019-02-25 23:24:28,0.27
2019-02-25 23:34:28,0.27
2019-02-25 23:44:29,0.27
2019-02-25 23:54:29,0.26
2019-02-26 00:04:29,0.27
2019-02-26 00:14:29,0.28
2019-02-26 00:24:30,0.27
2019-02-26 00:34:30,0.28
2019-02-26 00:44:31,0.27
2019-02-26 00:54:31,0.27
2019-02-26 01:04:31,0.27
